,id,fss,kf,n,idoc,ratio,probable_class,dc_c,dc,mu_nc,mu_mc,mu_sc,mu_fsf_low,mu_fsf_high,mu_kf_low,mu_kf_high,mu_n_low,mu_n_high,mu_idoc_low,mu_idoc_high,mu_ratio_low,mu_ratio_high
0,Ref before,17.705561,0.000234,0.20736887,12.13,14.83316023,,0.7817440969439509,0.7092403144557191,0.13560286206269512,0.9716399888493341,0.9348612126723981,0.001623954141487654,0.7952669374999449,0.9870174505850431,0.13560286206269512,0.9934747119350366,0.00033493774341610867,0.0005082551434647517,0.9716399888493341,0.9348612126723981,0.005481407685823191
1,Ref before,17.705561,0.000214,0.20736887,12.13,14.83316023,,0.7845162954060243,0.7110389731998037,0.129503115467993,0.9716399888493341,0.9348612126723981,0.001623954141487654,0.7952669374999449,0.9873373906809378,0.129503115467993,0.9934747119350366,0.00033493774341610867,0.0005082551434647517,0.9716399888493341,0.9348612126723981,0.005481407685823191
2,Ref before,17.705561,7.22e-05,0.20736887,11.67,14.83316023,,0.8008572377220257,0.7216413089219273,0.09427029429415679,0.962501299257074,0.9348612126723981,0.001623954141487654,0.7952669374999449,0.9893308179856415,0.09427029429415679,0.9934747119350366,0.00033493774341610867,0.0007613081443763967,0.962501299257074,0.9348612126723981,0.005481407685823191
3,Ref before,17.705561,1.74e-06,0.20736887,11.71,14.83316023,,0.8074719513983902,0.7259330696873924,0.0797481696886276,0.9634050501969507,0.9348612126723981,0.001623954141487654,0.7952669374999449,0.9902179570281178,0.0797481696886276,0.9934747119350366,0.00033493774341610867,0.0007346757033311691,0.9634050501969507,0.9348612126723981,0.005481407685823191
4,Ref before,17.705561,,0.20736887,11.22,14.83316023,,0.5394679316490774,0.5520466109194396,0.9508665116276791,0.9508665116276791,0.9348612126723981,0.001623954141487654,0.7952669374999449,,,0.9934747119350366,0.00033493774341610867,0.0011299811545339333,0.9508665116276791,0.9348612126723981,0.005481407685823191
5,Ref before,17.705561,,0.20736887,11.34,14.83316023,,0.539106893503182,0.5518123620274692,0.9542624686959658,0.9542624686959658,0.9348612126723981,0.001623954141487654,0.7952669374999449,,,0.9934747119350366,0.00033493774341610867,0.0010173086627471592,0.9542624686959658,0.9348612126723981,0.005481407685823191
6,Ref after,19.49164249,0.0145,0.197577875,12.63,10.96665209,,0.5273908077655729,0.5442107273152728,0.979120531459329,0.8819495260369363,0.8819495260369363,0.0005006806528693127,0.8819495260369363,1.9296773074675074e-06,0.9999999999999987,0.9935059790799255,0.00033364222015910854,0.0003275758706833702,0.979120531459329,0.985352399814587,0.002117378534507739
7,Ref after,19.49164249,0.00771,0.197577875,12.45,10.96665209,,0.5275258406598182,0.5442983394034029,0.9766791911890048,0.8819495260369363,0.8819495260369363,0.0005006806528693127,0.8819495260369363,0.007902849062055016,0.9999999620611407,0.9935059790799255,0.00033364222015910854,0.0003837637934389704,0.9766791911890048,0.985352399814587,0.002117378534507739
8,Ref after,19.49164249,0.00332,0.197577875,11.77,10.96665209,,0.5309814463871236,0.5465404066805335,0.9647024144639317,0.6338637115489009,0.8819495260369363,0.0005006806528693127,0.8819495260369363,0.6338637115489009,0.9974238225612785,0.9935059790799255,0.00033364222015910854,0.0006972983563684565,0.9647024144639317,0.985352399814587,0.002117378534507739
9,Ref after,19.49164249,0.00258,0.197577875,10.57,10.96665209,,0.5330718782656952,0.5478967213992473,0.9278887726118056,0.8108701559255916,0.8819495260369363,0.0005006806528693127,0.8819495260369363,0.8108701559255916,0.9834230419941573,0.9935059790799255,0.00033364222015910854,0.001999345555168905,0.9278887726118056,0.985352399814587,0.002117378534507739
10,Ref after,19.49164249,0.00271,0.197577875,11.93,10.96665209,,0.5289310299588362,0.5452100547998115,0.9679676561549286,0.7852700825335088,0.8819495260369363,0.0005006806528693127,0.8819495260369363,0.7852700825335088,0.9880507086975664,0.9935059790799255,0.00033364222015910854,0.0006058689555040208,0.9679676561549286,0.985352399814587,0.002117378534507739
