Easting [m,Northig [m,dz
4574968.9,5302496.73,-0.87
4574931.75,5302520.62,1.31
4574817.84,5302590.96,-0.6
4574827.71,5302549.68,-2.25
4574832.27,5302599.91,0.61
4574871.04,5302577.02,-0.45
4574909.82,5302554.46,1.54
4574946.55,5302530.2,-0.98
4574793.58,5302623.15,-0.46
4574803.53,5302582.07,-2.23
4574769.32,5302655.33,-0.21
4574807.98,5302631.92,0.72
4574783.69,5302663.94,0.71
4574846.71,5302608.86,-0.75
4574885.45,5302586.13,1.41
4574924.19,5302563.68,-1.07
4574779.35,5302614.47,-1.94
4574745.06,5302687.52,-0.02
4574755.17,5302646.86,-1.24
4574759.39,5302695.95,0.7
4574740.66,5302724.27,0.4
4574822.38,5302640.7,-0.4
4574798.05,5302672.54,-0.32
4574861.09,5302617.79,1.33
4574899.8,5302595.18,-0.64
4574721.93,5302752.59,0.86
4574726.56,5302715.85,0.2
4574730.99,5302679.25,-0.19
4574703.2,5302780.92,1.1
4574773.72,5302704.38,-0.01
4574754.77,5302732.69,0.13
4574836.73,5302649.45,1.46
4574812.37,5302681.12,1.29
4574875.42,5302626.67,-1.04
4574735.82,5302761.01,0.33
4574716.87,5302789.33,0.45
4574708.06,5302744.19,0.24
4574712.67,5302707.56,0.65
4574684.47,5302809.24,1.13
4574689.55,5302772.52,0.22
4574788,5302712.78,0.91
4574768.84,5302741.1,0.21
4574851.03,5302658.17,-1.82
4574826.65,5302689.66,-2.18
4574697.92,5302817.65,0.5
4574749.68,5302769.42,-0.32
4574730.52,5302797.74,-0.86
4574694.35,5302735.88,0.86
4574665.73,5302837.56,1.08
4574671.05,5302800.85,0.2
4574676.03,5302764.19,0.75
4574802.26,5302721.16,-2.76
4574782.88,5302749.48,-2.95
4574711.36,5302826.06,-1.12
4574678.97,5302845.97,0.43
4574763.5,5302777.79,-2.92
4574744.11,5302806.1,-2.56
4574660.02,5302874.29,0.31
4574647,5302865.88,0.81
4574652.55,5302829.18,0.12
4574657.71,5302792.5,0.68
4574638.07,5302907.59,0.21
4574724.73,5302834.42,-2.13
4574692.2,5302854.38,-1.27
4574673.04,5302882.7,-1.16
4574616.12,5302940.89,0.2
4574625.59,5302899.61,0.55
4574634.05,5302857.51,0.14
4574639.39,5302820.82,0.82
4574650.56,5302915.56,-0.89
4574628.08,5302948.43,-0.62
4574705.35,5302862.74,-1.57
4574685.97,5302891.05,-0.89
4574594.18,5302974.19,0.06
4574604.18,5302933.35,0.3
4574613.15,5302891.67,0.11
4574621.07,5302849.13,0.91
4574605.6,5302981.3,-0.47
4574662.98,5302923.5,-0.47
4574639.99,5302955.95,-0.33
4574572.23,5303007.49,-0.3
4574582.77,5302967.08,0.04
4574592.24,5302925.82,-0.08
4574600.68,5302883.7,0.69
4574617.01,5302988.4,-0.16
4574583.11,5303014.17,-0.26
4574560.63,5303047.04,0.02
4574550.28,5303040.79,-0.75
4574561.35,5303000.82,-0.26
4574571.34,5302959.98,-0.22
4574580.29,5302918.28,0.47
4574541.68,5303075.1,0.19
4574594.02,5303020.85,0.03
4574571.03,5303053.3,0.24
4574522.72,5303103.16,0.28
4574531.19,5303068.73,-1
4574539.94,5303034.55,-0.53
4574550.44,5302994.13,-0.27
4574559.9,5302952.85,0.31
4574552.2,5303081.49,0.31
4574533.37,5303109.67,0.25
4574503.77,5303131.22,0.26
4574512.11,5303096.66,-0.96
4574520.72,5303062.36,-0.56
4574529.53,5303028.29,-0.26
4574539.51,5302987.43,0.24
4574514.54,5303137.85,0.11
4574484.81,5303159.28,0.14
4574493.02,5303124.6,-0.62
4574501.49,5303090.17,-0.5
