Easting [m],Northig [m],dz
4574639.99,5302955.95,-0.65
4574572.23,5303007.49,-0.12
4574582.77,5302967.08,0
4574592.24,5302925.82,-0.01
4574600.68,5302883.7,-0.05
4574617.01,5302988.4,-0.49
4574583.11,5303014.17,-0.23
4574560.63,5303047.04,-0.19
4574550.28,5303040.79,-0.02
4574561.35,5303000.82,0.12
4574571.34,5302959.98,-0.06
4574580.29,5302918.28,0.02
4574541.68,5303075.1,-0.16
4574594.02,5303020.85,-0.43
4574571.03,5303053.3,-0.47
4574522.72,5303103.16,-0.16
4574531.19,5303068.73,-0.06
4574539.94,5303034.55,0.23
4574550.44,5302994.13,-0.04
4574559.9,5302952.85,-0.01
4574552.2,5303081.49,-0.32
4574533.37,5303109.67,-0.29
4574503.77,5303131.22,-0.21
4574512.11,5303096.66,-0.12
4574520.72,5303062.36,-0.04
4574529.53,5303028.29,-0.01
4574539.51,5302987.43,-0.16
4574514.54,5303137.85,-0.33
4574484.81,5303159.28,-0.24
4574493.02,5303124.6,-0.11
4574501.49,5303090.17,-0.09
4574510.19,5303055.98,-0.15
4574519.12,5303022,-0.22
4574495.72,5303166.04,-0.33
4574476.89,5303194.22,-0.31
4574465.86,5303187.34,-0.27
4574473.93,5303152.54,-0.25
4574482.27,5303117.99,-0.14
4574490.84,5303083.66,-0.13
4574499.66,5303049.58,-0.16
4574458.06,5303222.41,-0.34
4574446.9,5303215.4,-0.33
4574454.84,5303180.47,-0.26
4574463.04,5303145.8,-0.16
4574471.49,5303111.35,-0.15
4574480.19,5303077.15,0.1
4574436.65,5303256.24,-0.33
4574415.24,5303290.07,-0.31
4574425.52,5303249.3,-0.25
4574404.14,5303283.19,-0.2
4574435.75,5303208.41,-0.32
4574443.82,5303173.61,-0.13
4574452.14,5303139.04,-0.11
4574460.73,5303104.73,0.23
4574393.82,5303323.89,-0.28
4574372.41,5303357.72,-0.22
4574382.75,5303317.09,-0.15
4574414.39,5303242.37,-0.32
4574393.03,5303276.33,-0.29
4574424.59,5303201.42,-0.06
4574432.8,5303166.73,-0.09
4574441.27,5303132.31,-0.96
4574351,5303391.55,-0.18
4574361.37,5303350.99,-0.1
4574371.68,5303310.29,-0.25
4574403.27,5303235.44,-0.04
4574381.94,5303269.47,-0.03
4574413.45,5303194.42,-0.17
4574421.8,5303159.88,-0.86
4574334.36,5303420.41,-0.17
4574339.98,5303384.88,-0.05
4574350.32,5303344.25,-0.2
4574317.72,5303449.27,-0.17
4574323.04,5303413.59,0.04
4574360.61,5303303.49,-0.03
4574392.15,5303228.51,-0.35
4574370.84,5303262.6,-0.51
4574402.34,5303187.46,-0.04
4574301.08,5303478.13,-0.14
4574328.96,5303378.21,-0.17
4574339.28,5303337.52,-0.02
4574306.09,5303442.3,0.13
4574311.7,5303406.76,-0.17
4574349.54,5303296.69,-0.46
4574381.06,5303221.61,0.88
4574359.77,5303255.76,0.53
4574284.44,5303506.99,-0.1
4574289.15,5303471.01,0.22
4574267.8,5303535.85,-0.03
4574272.2,5303499.72,0.31
4574317.95,5303371.55,-0.01
4574328.24,5303330.78,-0.26
4574294.43,5303435.31,-0.18
4574300.37,5303399.94,-0.03
4574338.49,5303289.9,0.29
4574251.16,5303564.71,0.02
4574277.17,5303463.86,-0.19
4574255.26,5303528.43,0.4
4574259.91,5303492.42,-0.2
4574306.93,5303364.87,-0.04
4574317.2,5303324.05,-0.02
4574282.79,5303428.34,-0.05
4574289.04,5303393.11,-0.09
4574233.57,5303593.67,0.57
4574238.31,5303557.14,0.48
4574265.21,5303456.73,-0.06
4574242.64,5303520.97,-0.22
4574247.63,5303485.13,-0.07
4574295.92,5303358.2,-0.29
4574271.14,5303421.35,-0.13
4574277.72,5303386.29,-0.3
4574215.98,5303622.62,1.13
4574220.76,5303586.05,0.4
4574225.38,5303549.52,-0.23
4574253.25,5303449.59,-0.27
4574230.05,5303513.52,-0.12
4574235.35,5303477.83,-0.29
4574259.51,5303414.38,0.21
4574198.39,5303651.58,1.18
4574203.21,5303614.96,0.3
4574207.88,5303578.39,-0.2
4574212.47,5303541.92,-0.16
4574241.31,5303442.46,0.42
4574217.46,5303506.07,-0.39
4574223.11,5303470.55,-0.19
4574180.81,5303680.54,1.23
4574185.66,5303643.87,0.19
4574190.37,5303607.26,-0.19
4574195,5303570.74,-0.19
4574199.57,5303534.32,-0.38
4574163.22,5303709.49,1.28
4574204.9,5303498.64,-0.05
4574168.11,5303672.78,0.09
4574172.87,5303636.13,-0.16
4574177.53,5303599.56,-0.24
4574182.13,5303563.09,-0.38
4574186.7,5303526.73,0.56
4574145.63,5303738.45,0.32
4574150.56,5303701.69,-0.03
4574155.37,5303665,-0.14
4574160.06,5303628.38,-0.26
4574164.69,5303591.86,-0.38
4574169.29,5303555.45,0.56
4574128.13,5303766.52,0.07
4574133.01,5303730.6,-0.14
4574110.62,5303794.6,0.02
4574137.87,5303693.87,-0.11
4574093.12,5303822.67,0
4574142.59,5303657.2,-0.29
4574147.25,5303620.63,-0.39
4574151.87,5303584.17,0.64
4574115.9,5303758.98,-0.13
4574120.36,5303722.74,-0.07
4574098.79,5303787.36,-0.1
4574125.11,5303686.02,-0.32
4574075.62,5303850.74,-0.05
4574081.68,5303815.73,-0.06
4574129.81,5303649.4,-0.38
4574134.46,5303612.89,0.53
4574103.63,5303751.41,-0.12
4574107.64,5303714.84,-0.34
4574086.9,5303780.08,-0.16
4574112.37,5303678.18,-0.38
4574058.11,5303878.82,-0.02
4574064.57,5303844.11,-0.03
4574070.16,5303808.75,-0.19
4574117.05,5303641.61,0.14
4574091.3,5303743.81,-0.32
4574094.94,5303706.95,-0.37
4574074.95,5303772.78,-0.32
4574099.63,5303670.33,-0.25
4574040.61,5303906.89,0.02
4574022.97,5303935.78,1.71
4574047.46,5303872.48,0.01
4574053.43,5303837.42,-0.2
4574058.6,5303801.74,-0.3
4574078.98,5303736.22,-0.31
4574082.22,5303699.05,-0.61
4574063.02,5303765.48,-0.38
4574030.35,5303900.86,0.04
4574005.33,5303964.68,1.48
4574012.18,5303929.37,-0.07
4574036.7,5303866.09,-0.21
4574042.25,5303830.71,-0.27
4574047.07,5303794.75,-0.42
4574066.65,5303728.61,-0.55
4574051.07,5303758.18,-0.54
4574019.97,5303894.76,-0.24
4573987.7,5303993.57,1.26
4573994.01,5303957.87,-0.19
4574001.28,5303922.89,-0.24
4574025.91,5303859.68,-0.25
4574031.11,5303824.02,-0.46
4574035.5,5303787.74,-0.5
4574009.56,5303888.65,-0.24
4573970.06,5304022.46,1.02
4573975.84,5303986.38,-0.3
4573982.6,5303951.01,-0.2
