species,name,nativ,type,occurance,habitat,waterdepthmin,waterdepthmax,rootdepth,floodheightmax,floodloss,flooddurationmax
Quercus robur,NoData,1,NoData,NoData,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Alnus glutinosa,NoData,1,NoData,NoData,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Populus,Populus nigra,1,Baum,Aue,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Populus,Populus alba,1,Baum,Aue,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Salix,Salix purpurea,1,Strauch,Ufer,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Salix,Salix alba ,1,Baum,Aue,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Salix,Salix eleagnos,1,Strauch,Ufer,Breisach ,NoData,NoData,NoData,NoData,NoData,1
fraxinus,Fraxinus excelsior,1,Baum,Aue,Breisach ,NoData,NoData,NoData,NoData,NoData,1
Ulmus laevis,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,1
Rhamnus cathartica,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,190-200 (2),<25 (2),1
robinia pseudacacia,NoData,etablierte (neophytische) Vorkommen,NoData,NoData,NoData,NoData,NoData,NoData,135-140 (2),<50 (2),55(3)
cornus sanguinea,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,200(1),<50(2),120(1)
sambucus nigra,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,250 (2),>50(2),1
prunus spinosa,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,250 (2),>50(2),1
Euonymus europaeus,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,190 (1),NoData,117 (1)
acer pseudoplatanus,NoData,1,NoData,NoData,NoData,NoData,NoData,NoData,150 - 190 (4),NoData,40 (3)
